25330.0, {'247379907': 150.0, '252017285': -4.0, '256201389': 0, '26110729': -20.0, '280120513': -23.0, '32319828': 0, '62426694': 0, 'cluster_1098574052_1098574061_247379905': 4.0}, {'247379907': 3, '252017285': 1, '256201389': 0, '26110729': 2, '280120513': 2, '32319828': 0, '62426694': 0, 'cluster_1098574052_1098574061_247379905': 0}, {'247379907': 4, '252017285': 1, '256201389': 0, '26110729': 2, '280120513': 3, '32319828': 0, '62426694': 0, 'cluster_1098574052_1098574061_247379905': 0}, 
25340.0, {'247379907': -44.0, '252017285': -17.0, '256201389': 0, '26110729': -36.0, '280120513': 26.0, '32319828': 0, '62426694': 0, 'cluster_1098574052_1098574061_247379905': 0}, {'247379907': 3, '252017285': 1, '256201389': 0, '26110729': 4, '280120513': 0, '32319828': 0, '62426694': 0, 'cluster_1098574052_1098574061_247379905': 0}, {'247379907': 5, '252017285': 2, '256201389': 0, '26110729': 5, '280120513': 0, '32319828': 0, '62426694': 0, 'cluster_1098574052_1098574061_247379905': 0}, 
25350.0, {'247379907': -71.0, '252017285': 21.0, '256201389': 0, '26110729': 76.0, '280120513': 0, '32319828': 0, '62426694': 0, 'cluster_1098574052_1098574061_247379905': -4.0}, {'247379907': 4, '252017285': 0, '256201389': 0, '26110729': 1, '280120513': 0, '32319828': 0, '62426694': 0, 'cluster_1098574052_1098574061_247379905': 1}, {'247379907': 9, '252017285': 0, '256201389': 0, '26110729': 1, '280120513': 0, '32319828': 0, '62426694': 0, 'cluster_1098574052_1098574061_247379905': 1}, 
25360.0, {'247379907': -90.0, '252017285': 0, '256201389': 0, '26110729': -34.0, '280120513': 0, '32319828': -6.0, '62426694': 0, 'cluster_1098574052_1098574061_247379905': -23.0}, {'247379907': 4, '252017285': 0, '256201389': 0, '26110729': 3, '280120513': 0, '32319828': 1, '62426694': 0, 'cluster_1098574052_1098574061_247379905': 3}, {'247379907': 9, '252017285': 0, '256201389': 0, '26110729': 5, '280120513': 0, '32319828': 1, '62426694': 0, 'cluster_1098574052_1098574061_247379905': 3}, 
25370.0, {'247379907': -113.0, '252017285': 0, '256201389': 0, '26110729': -50.0, '280120513': 0, '32319828': 6.0, '62426694': -9.0, 'cluster_1098574052_1098574061_247379905': -30.0}, {'247379907': 5, '252017285': 0, '256201389': 0, '26110729': 3, '280120513': 0, '32319828': 0, '62426694': 1, 'cluster_1098574052_1098574061_247379905': 3}, {'247379907': 12, '252017285': 0, '256201389': 0, '26110729': 5, '280120513': 0, '32319828': 0, '62426694': 1, 'cluster_1098574052_1098574061_247379905': 3}, 
25380.0, {'247379907': -127.0, '252017285': 0, '256201389': 0, '26110729': 29.0, '280120513': 0, '32319828': 0, '62426694': 9.0, 'cluster_1098574052_1098574061_247379905': -36.0}, {'247379907': 5, '252017285': 0, '256201389': 0, '26110729': 1, '280120513': 0, '32319828': 0, '62426694': 0, 'cluster_1098574052_1098574061_247379905': 4}, {'247379907': 13, '252017285': 0, '256201389': 0, '26110729': 2, '280120513': 0, '32319828': 0, '62426694': 0, 'cluster_1098574052_1098574061_247379905': 4}, 
25390.0, {'247379907': -142.0, '252017285': -8.0, '256201389': 0, '26110729': -20.0, '280120513': -1.0, '32319828': 0, '62426694': -12.0, 'cluster_1098574052_1098574061_247379905': -40.0}, {'247379907': 7, '252017285': 2, '256201389': 0, '26110729': 1, '280120513': 1, '32319828': 0, '62426694': 2, 'cluster_1098574052_1098574061_247379905': 4}, {'247379907': 17, '252017285': 2, '256201389': 0, '26110729': 2, '280120513': 1, '32319828': 0, '62426694': 2, 'cluster_1098574052_1098574061_247379905': 4}, 
25400.0, {'247379907': -134.0, '252017285': -28.0, '256201389': 0, '26110729': 88.0, '280120513': 1.0, '32319828': 0, '62426694': -28.0, 'cluster_1098574052_1098574061_247379905': -40.0}, {'247379907': 7, '252017285': 3, '256201389': 0, '26110729': 0, '280120513': 0, '32319828': 0, '62426694': 4, 'cluster_1098574052_1098574061_247379905': 4}, {'247379907': 16, '252017285': 3, '256201389': 0, '26110729': 0, '280120513': 0, '32319828': 0, '62426694': 4, 'cluster_1098574052_1098574061_247379905': 4}, 
25410.0, {'247379907': -170.0, '252017285': -30.0, '256201389': 0, '26110729': 0, '280120513': -8.0, '32319828': 0, '62426694': 20.0, 'cluster_1098574052_1098574061_247379905': 137.0}, {'247379907': 8, '252017285': 3, '256201389': 0, '26110729': 0, '280120513': 1, '32319828': 0, '62426694': 1, 'cluster_1098574052_1098574061_247379905': 1}, {'247379907': 17, '252017285': 3, '256201389': 0, '26110729': 0, '280120513': 1, '32319828': 0, '62426694': 3, 'cluster_1098574052_1098574061_247379905': 1}, 
25420.0, {'247379907': -17.0, '252017285': 66.0, '256201389': 0, '26110729': 0, '280120513': -1.0, '32319828': 0, '62426694': -23.0, 'cluster_1098574052_1098574061_247379905': -16.0}, {'247379907': 8, '252017285': 0, '256201389': 0, '26110729': 0, '280120513': 1, '32319828': 0, '62426694': 2, 'cluster_1098574052_1098574061_247379905': 1}, {'247379907': 14, '252017285': 0, '256201389': 0, '26110729': 0, '280120513': 1, '32319828': 0, '62426694': 3, 'cluster_1098574052_1098574061_247379905': 2}, 
25430.0, {'247379907': 465.0, '252017285': -17.0, '256201389': 0, '26110729': 0, '280120513': 9.0, '32319828': 0, '62426694': 18.0, 'cluster_1098574052_1098574061_247379905': -4.0}, {'247379907': 6, '252017285': 2, '256201389': 0, '26110729': 0, '280120513': 0, '32319828': 0, '62426694': 1, 'cluster_1098574052_1098574061_247379905': 1}, {'247379907': 9, '252017285': 3, '256201389': 0, '26110729': 0, '280120513': 0, '32319828': 0, '62426694': 1, 'cluster_1098574052_1098574061_247379905': 1}, 
25440.0, {'247379907': 216.0, '252017285': -30.0, '256201389': 0, '26110729': -4.0, '280120513': -6.0, '32319828': 0, '62426694': -10.0, 'cluster_1098574052_1098574061_247379905': -10.0}, {'247379907': 5, '252017285': 2, '256201389': 0, '26110729': 1, '280120513': 1, '32319828': 0, '62426694': 1, 'cluster_1098574052_1098574061_247379905': 1}, {'247379907': 7, '252017285': 3, '256201389': 0, '26110729': 1, '280120513': 1, '32319828': 0, '62426694': 1, 'cluster_1098574052_1098574061_247379905': 1}, 
25450.0, {'247379907': 188.0, '252017285': -30.0, '256201389': -9.0, '26110729': -23.0, '280120513': 6.0, '32319828': 0, '62426694': -19.0, 'cluster_1098574052_1098574061_247379905': -10.0}, {'247379907': 2, '252017285': 2, '256201389': 1, '26110729': 3, '280120513': 0, '32319828': 0, '62426694': 1, 'cluster_1098574052_1098574061_247379905': 1}, {'247379907': 4, '252017285': 3, '256201389': 1, '26110729': 5, '280120513': 0, '32319828': 0, '62426694': 2, 'cluster_1098574052_1098574061_247379905': 1}, 
25460.0, {'247379907': -12.0, '252017285': 77.0, '256201389': 9.0, '26110729': 27.0, '280120513': 0, '32319828': 0, '62426694': -24.0, 'cluster_1098574052_1098574061_247379905': -17.0}, {'247379907': 2, '252017285': 0, '256201389': 0, '26110729': 0, '280120513': 0, '32319828': 0, '62426694': 2, 'cluster_1098574052_1098574061_247379905': 3}, {'247379907': 3, '252017285': 0, '256201389': 0, '26110729': 0, '280120513': 0, '32319828': 0, '62426694': 3, 'cluster_1098574052_1098574061_247379905': 3}, 
