25330.0, {'247379907': -32.0, '252017285': -63.0, '256201389': 0, '26110729': 0, '280120513': -1.0, '32319828': 0, '62426694': -3.0, 'cluster_1098574052_1098574061_247379905': 0}, {'247379907': 4, '252017285': 7, '256201389': 0, '26110729': 0, '280120513': 1, '32319828': 0, '62426694': 1, 'cluster_1098574052_1098574061_247379905': 0}, {'247379907': 4, '252017285': 7, '256201389': 0, '26110729': 0, '280120513': 1, '32319828': 0, '62426694': 1, 'cluster_1098574052_1098574061_247379905': 0}, 
25340.0, {'247379907': -59.0, '252017285': -79.0, '256201389': 0, '26110729': -20.0, '280120513': -16.0, '32319828': 0, '62426694': 3.0, 'cluster_1098574052_1098574061_247379905': -9.0}, {'247379907': 6, '252017285': 7, '256201389': 0, '26110729': 2, '280120513': 2, '32319828': 0, '62426694': 0, 'cluster_1098574052_1098574061_247379905': 1}, {'247379907': 6, '252017285': 8, '256201389': 0, '26110729': 3, '280120513': 2, '32319828': 0, '62426694': 0, 'cluster_1098574052_1098574061_247379905': 1}, 
25350.0, {'247379907': 174.0, '252017285': 147.0, '256201389': 0, '26110729': 20.0, '280120513': -20.0, '32319828': 0, '62426694': 0, 'cluster_1098574052_1098574061_247379905': -23.0}, {'247379907': 3, '252017285': 5, '256201389': 0, '26110729': 0, '280120513': 2, '32319828': 0, '62426694': 0, 'cluster_1098574052_1098574061_247379905': 3}, {'247379907': 5, '252017285': 5, '256201389': 0, '26110729': 0, '280120513': 2, '32319828': 0, '62426694': 0, 'cluster_1098574052_1098574061_247379905': 3}, 
25360.0, {'247379907': -52.0, '252017285': -40.0, '256201389': 0, '26110729': -11.0, '280120513': -20.0, '32319828': 0, '62426694': -5.0, 'cluster_1098574052_1098574061_247379905': -34.0}, {'247379907': 4, '252017285': 5, '256201389': 0, '26110729': 1, '280120513': 2, '32319828': 0, '62426694': 2, 'cluster_1098574052_1098574061_247379905': 4}, {'247379907': 6, '252017285': 5, '256201389': 0, '26110729': 2, '280120513': 2, '32319828': 0, '62426694': 2, 'cluster_1098574052_1098574061_247379905': 4}, 
25370.0, {'247379907': -33.0, '252017285': 171.0, '256201389': 0, '26110729': -4.0, '280120513': -20.0, '32319828': 0, '62426694': -34.0, 'cluster_1098574052_1098574061_247379905': 52.0}, {'247379907': 5, '252017285': 2, '256201389': 0, '26110729': 1, '280120513': 2, '32319828': 0, '62426694': 4, 'cluster_1098574052_1098574061_247379905': 1}, {'247379907': 8, '252017285': 2, '256201389': 0, '26110729': 1, '280120513': 2, '32319828': 0, '62426694': 4, 'cluster_1098574052_1098574061_247379905': 1}, 
25380.0, {'247379907': -86.0, '252017285': -27.0, '256201389': 0, '26110729': -20.0, '280120513': 77.0, '32319828': 0, '62426694': -40.0, 'cluster_1098574052_1098574061_247379905': -15.0}, {'247379907': 5, '252017285': 4, '256201389': 0, '26110729': 1, '280120513': 0, '32319828': 0, '62426694': 4, 'cluster_1098574052_1098574061_247379905': 2}, {'247379907': 9, '252017285': 4, '256201389': 0, '26110729': 2, '280120513': 0, '32319828': 0, '62426694': 4, 'cluster_1098574052_1098574061_247379905': 2}, 
25390.0, {'247379907': -100.0, '252017285': -53.0, '256201389': 0, '26110729': -23.0, '280120513': 0, '32319828': 0, '62426694': 54.0, 'cluster_1098574052_1098574061_247379905': 29.0}, {'247379907': 7, '252017285': 6, '256201389': 0, '26110729': 2, '280120513': 0, '32319828': 0, '62426694': 1, 'cluster_1098574052_1098574061_247379905': 0}, {'247379907': 12, '252017285': 6, '256201389': 0, '26110729': 3, '280120513': 0, '32319828': 0, '62426694': 2, 'cluster_1098574052_1098574061_247379905': 0}, 
25400.0, {'247379907': -121.0, '252017285': 94.0, '256201389': 0, '26110729': -30.0, '280120513': 0, '32319828': 0, '62426694': -31.0, 'cluster_1098574052_1098574061_247379905': 0}, {'247379907': 8, '252017285': 2, '256201389': 0, '26110729': 2, '280120513': 0, '32319828': 0, '62426694': 3, 'cluster_1098574052_1098574061_247379905': 0}, {'247379907': 13, '252017285': 2, '256201389': 0, '26110729': 3, '280120513': 0, '32319828': 0, '62426694': 4, 'cluster_1098574052_1098574061_247379905': 0}, 
25410.0, {'247379907': 242.0, '252017285': 42.0, '256201389': -3.0, '26110729': 88.0, '280120513': -26.0, '32319828': 0, '62426694': 26.0, 'cluster_1098574052_1098574061_247379905': 0}, {'247379907': 5, '252017285': 0, '256201389': 1, '26110729': 0, '280120513': 3, '32319828': 0, '62426694': 1, 'cluster_1098574052_1098574061_247379905': 0}, {'247379907': 7, '252017285': 0, '256201389': 1, '26110729': 0, '280120513': 3, '32319828': 0, '62426694': 3, 'cluster_1098574052_1098574061_247379905': 0}, 
25420.0, {'247379907': 96.0, '252017285': 0, '256201389': 3.0, '26110729': 0, '280120513': 26.0, '32319828': 0, '62426694': 21.0, 'cluster_1098574052_1098574061_247379905': 0}, {'247379907': 3, '252017285': 0, '256201389': 0, '26110729': 0, '280120513': 0, '32319828': 0, '62426694': 2, 'cluster_1098574052_1098574061_247379905': 0}, {'247379907': 4, '252017285': 0, '256201389': 0, '26110729': 0, '280120513': 0, '32319828': 0, '62426694': 2, 'cluster_1098574052_1098574061_247379905': 0}, 
25430.0, {'247379907': 68.0, '252017285': -8.0, '256201389': 0, '26110729': -10.0, '280120513': 0, '32319828': 0, '62426694': -20.0, 'cluster_1098574052_1098574061_247379905': 0}, {'247379907': 2, '252017285': 1, '256201389': 0, '26110729': 2, '280120513': 0, '32319828': 0, '62426694': 2, 'cluster_1098574052_1098574061_247379905': 0}, {'247379907': 2, '252017285': 1, '256201389': 0, '26110729': 4, '280120513': 0, '32319828': 0, '62426694': 2, 'cluster_1098574052_1098574061_247379905': 0}, 
25440.0, {'247379907': 53.0, '252017285': -10.0, '256201389': 0, '26110729': 10.0, '280120513': -6.0, '32319828': 0, '62426694': 29.0, 'cluster_1098574052_1098574061_247379905': 0}, {'247379907': 0, '252017285': 1, '256201389': 0, '26110729': 0, '280120513': 1, '32319828': 0, '62426694': 0, 'cluster_1098574052_1098574061_247379905': 0}, {'247379907': 0, '252017285': 1, '256201389': 0, '26110729': 0, '280120513': 1, '32319828': 0, '62426694': 0, 'cluster_1098574052_1098574061_247379905': 0}, 
25450.0, {'247379907': -6.0, '252017285': 18.0, '256201389': 0, '26110729': -8.0, '280120513': 5.0, '32319828': -1.0, '62426694': -7.0, 'cluster_1098574052_1098574061_247379905': 0}, {'247379907': 1, '252017285': 0, '256201389': 0, '26110729': 1, '280120513': 1, '32319828': 1, '62426694': 2, 'cluster_1098574052_1098574061_247379905': 0}, {'247379907': 1, '252017285': 0, '256201389': 0, '26110729': 1, '280120513': 1, '32319828': 1, '62426694': 2, 'cluster_1098574052_1098574061_247379905': 0}, 
25460.0, {'247379907': -10.0, '252017285': 0, '256201389': 0, '26110729': 8.0, '280120513': 1.0, '32319828': -10.0, '62426694': -29.0, 'cluster_1098574052_1098574061_247379905': 0}, {'247379907': 1, '252017285': 0, '256201389': 0, '26110729': 0, '280120513': 0, '32319828': 1, '62426694': 4, 'cluster_1098574052_1098574061_247379905': 0}, {'247379907': 1, '252017285': 0, '256201389': 0, '26110729': 0, '280120513': 0, '32319828': 1, '62426694': 4, 'cluster_1098574052_1098574061_247379905': 0}, 
25470.0, {'247379907': -10.0, '252017285': 0, '256201389': 0, '26110729': 0, '280120513': 0, '32319828': -16.0, '62426694': 23.0, 'cluster_1098574052_1098574061_247379905': 0}, {'247379907': 1, '252017285': 0, '256201389': 0, '26110729': 0, '280120513': 0, '32319828': 2, '62426694': 1, 'cluster_1098574052_1098574061_247379905': 0}, {'247379907': 1, '252017285': 0, '256201389': 0, '26110729': 0, '280120513': 0, '32319828': 2, '62426694': 1, 'cluster_1098574052_1098574061_247379905': 0}, 
25480.0, {'247379907': -15.0, '252017285': 0, '256201389': 0, '26110729': -12.0, '280120513': 0, '32319828': 27.0, '62426694': -14.0, 'cluster_1098574052_1098574061_247379905': -4.0}, {'247379907': 2, '252017285': 0, '256201389': 0, '26110729': 2, '280120513': 0, '32319828': 0, '62426694': 2, 'cluster_1098574052_1098574061_247379905': 1}, {'247379907': 2, '252017285': 0, '256201389': 0, '26110729': 3, '280120513': 0, '32319828': 0, '62426694': 2, 'cluster_1098574052_1098574061_247379905': 1}, 
25490.0, {'247379907': 41.0, '252017285': 0, '256201389': 0, '26110729': -45.0, '280120513': 0, '32319828': 0, '62426694': 13.0, 'cluster_1098574052_1098574061_247379905': 0.0}, {'247379907': 0, '252017285': 0, '256201389': 0, '26110729': 3, '280120513': 0, '32319828': 0, '62426694': 1, 'cluster_1098574052_1098574061_247379905': 1}, {'247379907': 0, '252017285': 0, '256201389': 0, '26110729': 6, '280120513': 0, '32319828': 0, '62426694': 2, 'cluster_1098574052_1098574061_247379905': 1}, 
25500.0, {'247379907': -5.0, '252017285': -1.0, '256201389': 0, '26110729': -71.0, '280120513': 0, '32319828': 0, '62426694': -20.0, 'cluster_1098574052_1098574061_247379905': 4.0}, {'247379907': 1, '252017285': 1, '256201389': 0, '26110729': 4, '280120513': 0, '32319828': 0, '62426694': 1, 'cluster_1098574052_1098574061_247379905': 0}, {'247379907': 1, '252017285': 1, '256201389': 0, '26110729': 8, '280120513': 0, '32319828': 0, '62426694': 2, 'cluster_1098574052_1098574061_247379905': 0}, 
25510.0, {'247379907': -10.0, '252017285': 1.0, '256201389': 0, '26110729': -85.0, '280120513': 0, '32319828': -2.0, '62426694': -20.0, 'cluster_1098574052_1098574061_247379905': -3.0}, {'247379907': 1, '252017285': 0, '256201389': 0, '26110729': 5, '280120513': 0, '32319828': 1, '62426694': 1, 'cluster_1098574052_1098574061_247379905': 1}, {'247379907': 1, '252017285': 0, '256201389': 0, '26110729': 10, '280120513': 0, '32319828': 1, '62426694': 2, 'cluster_1098574052_1098574061_247379905': 1}, 
25520.0, {'247379907': -10.0, '252017285': 0, '256201389': 0, '26110729': 21.0, '280120513': 0, '32319828': 2.0, '62426694': -20.0, 'cluster_1098574052_1098574061_247379905': -26.0}, {'247379907': 1, '252017285': 0, '256201389': 0, '26110729': 5, '280120513': 0, '32319828': 0, '62426694': 1, 'cluster_1098574052_1098574061_247379905': 2}, {'247379907': 1, '252017285': 0, '256201389': 0, '26110729': 6, '280120513': 0, '32319828': 0, '62426694': 2, 'cluster_1098574052_1098574061_247379905': 3}, 
