25330.0, {'247379907': -20.0, '252017285': 3.0, '256201389': 0, '26110729': -90.0, '280120513': -33.0, '32319828': 0, '62426694': 0, 'cluster_1098574052_1098574061_247379905': -29.0}, {'247379907': 4, '252017285': 2, '256201389': 0, '26110729': 7, '280120513': 3, '32319828': 0, '62426694': 0, 'cluster_1098574052_1098574061_247379905': 2}, {'247379907': 4, '252017285': 2, '256201389': 0, '26110729': 9, '280120513': 5, '32319828': 0, '62426694': 0, 'cluster_1098574052_1098574061_247379905': 3}, 
25340.0, {'247379907': 38.0, '252017285': -26.0, '256201389': 0, '26110729': 49.0, '280120513': 56.0, '32319828': 0, '62426694': -1.0, 'cluster_1098574052_1098574061_247379905': -30.0}, {'247379907': 1, '252017285': 4, '256201389': 0, '26110729': 5, '280120513': 0, '32319828': 0, '62426694': 1, 'cluster_1098574052_1098574061_247379905': 2}, {'247379907': 2, '252017285': 4, '256201389': 0, '26110729': 5, '280120513': 0, '32319828': 0, '62426694': 1, 'cluster_1098574052_1098574061_247379905': 3}, 
25350.0, {'247379907': -35.0, '252017285': -40.0, '256201389': 0, '26110729': 138.0, '280120513': 0, '32319828': 0, '62426694': -15.0, 'cluster_1098574052_1098574061_247379905': -35.0}, {'247379907': 2, '252017285': 4, '256201389': 0, '26110729': 0, '280120513': 0, '32319828': 0, '62426694': 2, 'cluster_1098574052_1098574061_247379905': 3}, {'247379907': 5, '252017285': 4, '256201389': 0, '26110729': 0, '280120513': 0, '32319828': 0, '62426694': 3, 'cluster_1098574052_1098574061_247379905': 5}, 
25360.0, {'247379907': -59.0, '252017285': -40.0, '256201389': 0, '26110729': -8.0, '280120513': -19.0, '32319828': 0, '62426694': -19.0, 'cluster_1098574052_1098574061_247379905': -57.0}, {'247379907': 2, '252017285': 4, '256201389': 0, '26110729': 1, '280120513': 2, '32319828': 0, '62426694': 3, 'cluster_1098574052_1098574061_247379905': 4}, {'247379907': 6, '252017285': 4, '256201389': 0, '26110729': 2, '280120513': 2, '32319828': 0, '62426694': 3, 'cluster_1098574052_1098574061_247379905': 6}, 
25370.0, {'247379907': 21.0, '252017285': -40.0, '256201389': 0, '26110729': -20.0, '280120513': -20.0, '32319828': 0, '62426694': -30.0, 'cluster_1098574052_1098574061_247379905': -60.0}, {'247379907': 4, '252017285': 4, '256201389': 0, '26110729': 1, '280120513': 2, '32319828': 0, '62426694': 3, 'cluster_1098574052_1098574061_247379905': 4}, {'247379907': 7, '252017285': 4, '256201389': 0, '26110729': 2, '280120513': 2, '32319828': 0, '62426694': 3, 'cluster_1098574052_1098574061_247379905': 6}, 
25380.0, {'247379907': -19.0, '252017285': -40.0, '256201389': -10.0, '26110729': -20.0, '280120513': -20.0, '32319828': 0, '62426694': -42.0, 'cluster_1098574052_1098574061_247379905': -69.0}, {'247379907': 4, '252017285': 4, '256201389': 1, '26110729': 1, '280120513': 2, '32319828': 0, '62426694': 6, 'cluster_1098574052_1098574061_247379905': 5}, {'247379907': 6, '252017285': 4, '256201389': 1, '26110729': 2, '280120513': 2, '32319828': 0, '62426694': 6, 'cluster_1098574052_1098574061_247379905': 7}, 
25390.0, {'247379907': -70.0, '252017285': 133.0, '256201389': 10.0, '26110729': -35.0, '280120513': -20.0, '32319828': 0, '62426694': -60.0, 'cluster_1098574052_1098574061_247379905': 158.0}, {'247379907': 5, '252017285': 2, '256201389': 0, '26110729': 3, '280120513': 2, '32319828': 0, '62426694': 6, 'cluster_1098574052_1098574061_247379905': 2}, {'247379907': 8, '252017285': 3, '256201389': 0, '26110729': 5, '280120513': 2, '32319828': 0, '62426694': 6, 'cluster_1098574052_1098574061_247379905': 3}, 
25400.0, {'247379907': -90.0, '252017285': 32.0, '256201389': 0, '26110729': 69.0, '280120513': -28.0, '32319828': 0, '62426694': -65.0, 'cluster_1098574052_1098574061_247379905': 46.0}, {'247379907': 5, '252017285': 2, '256201389': 0, '26110729': 1, '280120513': 3, '32319828': 0, '62426694': 7, 'cluster_1098574052_1098574061_247379905': 1}, {'247379907': 9, '252017285': 2, '256201389': 0, '26110729': 1, '280120513': 3, '32319828': 0, '62426694': 7, 'cluster_1098574052_1098574061_247379905': 1}, 
25410.0, {'247379907': 176.0, '252017285': 26.0, '256201389': 0, '26110729': -16.0, '280120513': 107.0, '32319828': 0, '62426694': -75.0, 'cluster_1098574052_1098574061_247379905': -10.0}, {'247379907': 2, '252017285': 0, '256201389': 0, '26110729': 1, '280120513': 0, '32319828': 0, '62426694': 7, 'cluster_1098574052_1098574061_247379905': 1}, {'247379907': 3, '252017285': 0, '256201389': 0, '26110729': 2, '280120513': 0, '32319828': 0, '62426694': 8, 'cluster_1098574052_1098574061_247379905': 1}, 
25420.0, {'247379907': 83.0, '252017285': -1.0, '256201389': 0, '26110729': -20.0, '280120513': 0, '32319828': 0, '62426694': 125.0, 'cluster_1098574052_1098574061_247379905': -23.0}, {'247379907': 1, '252017285': 1, '256201389': 0, '26110729': 1, '280120513': 0, '32319828': 0, '62426694': 5, 'cluster_1098574052_1098574061_247379905': 2}, {'247379907': 1, '252017285': 1, '256201389': 0, '26110729': 2, '280120513': 0, '32319828': 0, '62426694': 6, 'cluster_1098574052_1098574061_247379905': 3}, 
